City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
cape town,0,ZA,1552755493,64,-33.93,71.6,4.7,18.42
new norfolk,0,AU,1552755675,81,-42.78,53.6,5.82,147.06
ushuaia,90,AR,1552752000,87,-54.81,50.0,5.97,-68.31
port lincoln,0,AU,1552755736,96,-34.72,64.5,11.23,135.86
lappeenranta,90,FI,1552755605,92,61.06,33.01,4.7,28.19
santiago del estero,0,AR,1552755600,59,-27.8,85.7,6.53,-64.26
margate,0,AU,1552755675,81,-43.03,53.6,5.82,147.26
punta arenas,90,CL,1552755200,93,-53.16,51.8,9.17,-70.91
kaeo,92,NZ,1552755249,100,-35.1,62.01,3.29,173.78
qaanaaq,24,GL,1552755543,100,77.48,-18.3,5.64,-69.36
lebu,0,ET,1552755737,38,8.96,60.86,6.42,38.73
meulaboh,20,ID,1552755738,100,4.14,79.22,3.06,96.13
saskylakh,76,RU,1552755738,68,71.97,-5.07,6.98,114.09
carnarvon,64,ZA,1552755738,35,-30.97,74.22,3.85,22.13
mataura,8,NZ,1552755608,86,-46.19,54.0,2.62,168.86
sao joao da barra,75,BR,1552752000,66,-21.64,86.0,13.87,-41.05
yulara,92,AU,1552752000,30,-25.24,82.4,10.29,130.99
jamestown,0,AU,1552755727,76,-33.21,47.54,2.95,138.6
port hedland,0,AU,1552753800,70,-20.31,86.0,5.82,118.58
aklavik,20,CA,1552752000,76,68.22,5.0,2.24,-135.01
tinskoy,92,RU,1552755740,85,56.15,30.93,3.06,96.92
dikson,64,RU,1552755537,89,73.51,6.18,24.76,80.55
castro,0,CL,1552752000,60,-42.48,68.0,5.82,-73.76
zalantun,0,CN,1552755741,39,48.0,26.07,6.87,122.72
arraial do cabo,40,BR,1552752000,79,-22.97,84.2,6.93,-42.02
pudozh,68,RU,1552755741,87,61.81,27.56,12.8,36.54
rikitea,64,PF,1552755535,100,-23.12,77.15,22.97,-134.97
avera,40,US,1552755734,47,33.19,55.99,9.17,-82.53
balsas,88,BR,1552755741,98,-7.53,76.92,6.42,-46.04
bredasdorp,12,ZA,1552755615,83,-34.53,73.4,3.36,20.04
yar-sale,12,RU,1552755742,61,66.83,-7.28,3.74,70.83
puerto ayacucho,40,CO,1552752000,44,5.66,95.0,4.7,-67.63
mandalgovi,8,MN,1552755742,66,45.76,27.29,11.45,106.27
brownsville,90,US,1552755620,76,25.91,57.2,11.41,-97.49
makokou,48,GA,1552755743,93,0.56,72.38,2.06,12.85
san patricio,92,PY,1552755743,99,-26.98,71.66,1.5,-56.83
saint-philippe,75,CA,1552755727,50,45.36,33.01,26.4,-73.48
lagos,75,NG,1552752000,79,6.46,86.0,4.7,3.39
hilo,90,US,1552755452,82,19.71,66.99,5.82,-155.08
guanajuato,90,MX,1552750860,59,21.02,60.8,6.93,-101.25
mayumba,32,GA,1552755744,90,-3.44,83.81,6.76,10.65
klaksvik,88,FO,1552753200,93,62.23,37.4,8.05,-6.59
port alfred,56,ZA,1552755572,96,-33.59,77.0,8.01,26.89
lagoa,0,PT,1552755731,63,37.14,70.0,9.17,-8.45
bataipora,24,BR,1552755745,99,-22.3,79.67,7.65,-53.27
ouallam,0,NE,1552755746,16,14.32,94.25,5.97,2.08
yorosso,0,ML,1552755746,18,12.35,96.0,7.65,-4.78
hamilton,75,BM,1552754903,68,32.3,72.0,5.82,-64.78
aiquile,48,BO,1552755674,76,-18.2,66.12,3.85,-65.18
hermanus,0,ZA,1552755639,93,-34.42,64.99,1.01,19.24
itaituba,40,BR,1552752000,66,-4.26,89.6,2.95,-55.99
georgetown,40,GY,1552752000,70,6.8,89.6,11.41,-58.16
opuwo,12,NA,1552755747,42,-18.06,80.03,2.51,13.84
albany,90,US,1552755482,48,42.65,42.01,17.22,-73.75
cockburn town,12,TC,1552755553,100,21.46,77.6,17.83,-71.14
upernavik,20,GL,1552755748,100,72.79,-10.65,10.11,-56.15
hobart,0,AU,1552755675,81,-42.88,53.6,5.82,147.33
kapaa,1,US,1552751760,82,22.08,64.4,9.17,-159.32
bibiani,76,GH,1552755749,85,6.45,78.18,4.85,-2.31
mahebourg,40,MU,1552755547,74,-20.41,82.4,1.12,57.7
periyakulam,20,IN,1552753800,48,10.12,84.2,5.82,77.55
humboldt,0,CA,1552755750,100,52.21,25.53,9.89,-105.12
mar del plata,0,AR,1552755750,36,-46.43,76.88,17.83,-67.52
gorontalo,8,ID,1552755750,93,0.54,72.47,2.06,123.06
kahului,40,US,1552755656,83,20.89,69.8,5.82,-156.47
avarua,92,CK,1552753800,88,-21.21,77.0,9.17,-159.78
harbour breton,92,CA,1552755395,100,47.48,41.0,37.07,-55.8
butaritari,88,KI,1552755751,100,3.07,82.91,10.22,172.79
havre-saint-pierre,90,CA,1552752000,93,50.23,35.6,8.05,-63.6
lorengau,64,PG,1552755752,100,-2.02,80.88,8.66,147.27
batemans bay,92,AU,1552755664,78,-35.71,64.99,5.01,150.18
khatanga,64,RU,1552755752,73,71.98,-11.06,3.29,102.47
ancud,0,CL,1552752000,60,-41.87,68.0,5.82,-73.83
lasa,20,CY,1552755678,71,34.92,59.0,4.7,32.53
bluff,36,AU,1552755752,96,-23.58,68.37,8.99,149.07
sambava,48,MG,1552755753,100,-14.27,82.64,12.46,50.17
luwuk,24,ID,1552755689,97,-0.95,77.6,3.29,122.79
puerto ayora,0,EC,1552755650,69,-0.74,80.6,9.17,-90.35
tuatapere,8,NZ,1552755608,86,-46.13,54.0,4.97,167.69
saldanha,0,PT,1552755753,27,41.42,65.18,9.66,-6.55
nikolskoye,90,RU,1552755335,80,59.7,37.99,11.18,30.79
candido mendes,92,BR,1552755754,100,-1.45,79.98,8.43,-45.72
sitka,8,US,1552755704,39,37.17,54.0,14.0,-99.65
egvekinot,36,RU,1552755754,60,66.32,-8.27,4.41,-179.17
cabo san lucas,90,MX,1552755689,77,22.89,75.0,3.29,-109.91
luderitz,0,NA,1552755755,82,-26.65,64.37,11.68,15.16
kijang,0,KR,1552752000,86,35.24,39.2,1.12,129.21
la tuque,76,CA,1552755608,58,47.44,23.28,10.78,-72.79
oyama,20,JP,1552755749,55,36.31,48.0,1.12,139.8
yellowknife,20,CA,1552755601,92,62.45,21.99,3.36,-114.38
chuy,88,UY,1552755542,91,-33.69,74.58,16.82,-53.46
provideniya,68,RU,1552755756,100,64.42,17.93,26.33,-173.23
souillac,0,FR,1552755365,55,45.6,62.6,10.29,-0.6
henties bay,0,NA,1552755727,87,-22.12,64.0,5.99,14.28
mount gambier,90,AU,1552753800,100,-37.83,57.2,6.93,140.78
busselton,0,AU,1552755633,47,-33.64,66.0,23.31,115.35
notre-dame-de-gravenchon,75,FR,1552755735,62,49.49,55.99,19.46,0.57
cayenne,90,GF,1552753800,74,4.94,80.6,3.36,-52.33
atuona,0,PF,1552755757,99,-9.8,82.55,12.01,-139.03
mortka,68,RU,1552755757,77,59.33,23.96,7.65,66.02
leningradskiy,68,RU,1552755758,80,69.38,-4.8,15.03,178.42
birjand,0,IR,1552752000,40,32.86,51.8,4.7,59.22
pevek,8,RU,1552755758,60,69.7,-20.96,10.45,170.27
roma,20,IT,1552755664,67,41.89,61.0,3.36,12.48
shingu,0,JP,1552755758,100,33.72,47.72,9.22,135.99
inuvik,20,CA,1552752000,77,68.36,5.0,9.17,-133.71
tilichiki,32,RU,1552755759,30,60.47,-21.5,2.62,166.1
pochutla,5,MX,1552754810,43,15.74,91.0,6.64,-96.47
nome,90,US,1552755602,35,30.04,59.0,11.41,-94.42
port keats,68,AU,1552755750,100,-14.25,73.95,6.76,129.55
ostrovnoy,20,RU,1552755760,84,68.05,27.2,14.47,39.51
myski,56,RU,1552755760,86,53.71,24.0,4.97,87.8
mizdah,0,LY,1552755760,42,31.45,59.73,5.75,12.98
honavar,0,IN,1552755760,95,14.28,76.16,4.41,74.45
sao miguel do guama,68,BR,1552755760,97,-1.63,82.19,6.76,-47.48
ponta do sol,8,BR,1552755761,76,-20.63,84.17,4.41,-46.0
vaini,0,IN,1552755761,74,15.34,72.56,2.95,74.49
ayr,75,GB,1552755525,100,55.46,37.99,9.17,-4.63
kholodnyy,8,RU,1552755761,0,62.72,-32.12,2.62,147.95
te anau,8,NZ,1552755762,87,-45.41,35.03,2.17,167.72
port elizabeth,75,US,1552755713,31,39.31,53.01,21.92,-74.98
los llanos de aridane,40,ES,1552755616,72,28.66,66.2,13.87,-17.92
yerbogachen,76,RU,1552755762,68,61.28,19.5,8.21,108.01
grootfontein,0,NA,1552755763,30,-19.56,80.48,7.87,18.1
bethel,90,US,1552753620,92,60.79,23.0,14.99,-161.76
torbay,90,CA,1552755698,87,47.66,45.0,26.4,-52.73
cedar rapids,1,US,1552755673,59,41.98,37.99,6.93,-91.67
gidole,92,ET,1552755765,25,5.65,83.67,4.29,37.37
lavrentiya,20,RU,1552755765,93,65.58,8.25,11.45,-170.99
katherine,44,AU,1552753800,88,-14.47,73.4,5.82,132.26
srednekolymsk,36,RU,1552755766,52,67.46,-18.3,2.39,153.71
tiksi,12,RU,1552755766,43,71.64,-27.71,2.73,128.87
husavik,24,CA,1552755339,65,50.56,21.99,8.01,-96.99
maceio,40,BR,1552752000,45,-9.67,87.8,10.29,-35.74
saint-pierre,20,FR,1552755724,71,48.95,55.99,19.46,4.24
cherskiy,20,RU,1552755767,44,68.75,-27.98,1.95,161.3
show low,1,US,1552755506,64,34.25,48.0,3.36,-110.03
hami,0,CN,1552755768,58,42.84,35.52,3.62,93.51
geraldton,75,CA,1552752000,66,49.72,10.4,10.29,-86.95
pangai,80,TO,1552755768,100,-19.8,78.41,6.98,-174.35
verkhnevilyuysk,68,RU,1552755768,54,63.45,6.45,6.87,120.31
norman wells,20,CA,1552752000,84,65.28,1.4,4.7,-126.83
teahupoo,75,PF,1552755196,94,-17.83,77.0,6.93,-149.27
erzin,40,TR,1552755613,100,36.95,53.01,2.06,36.2
bayanday,0,RU,1552755769,70,53.07,19.1,2.28,105.52
saint george,40,GR,1552755000,51,39.45,62.6,6.42,22.34
yuzhnouralsk,0,RU,1552755769,59,54.44,10.23,4.63,61.27
beloha,12,MG,1552755770,75,-25.17,75.48,13.47,45.06
victoria,75,BN,1552753800,88,5.28,80.6,2.24,115.24
atar,0,MR,1552755770,9,20.52,91.73,7.09,-13.05
madingou,36,CG,1552755771,71,-4.17,82.55,3.4,13.56
sept-iles,90,CA,1552755513,100,50.2,36.0,3.85,-66.38
port blair,0,IN,1552755771,98,11.67,83.22,8.88,92.75
hithadhoo,92,MV,1552755631,100,-0.6,79.67,1.16,73.08
beaverlodge,20,CA,1552752000,78,55.21,12.2,2.24,-119.43
takoradi,64,GH,1552755772,100,4.89,80.03,7.2,-1.75
aksarka,24,RU,1552755772,51,66.56,-3.77,3.18,67.8
la palma,36,CO,1552755773,82,5.36,77.28,1.72,-74.39
rochester,1,US,1552755690,68,44.02,33.01,5.82,-92.46
kintinku,36,TZ,1552755773,49,-5.89,77.87,8.21,35.22
swan hill,0,AU,1552755774,85,-35.34,60.32,8.21,143.56
xingcheng,0,CN,1552755774,64,40.62,28.5,5.41,120.71
morondava,56,MG,1552755774,98,-20.3,79.94,5.53,44.28
katangli,0,RU,1552755774,88,51.71,20.99,7.65,143.23
tacoaleche,75,MX,1552751340,55,22.82,60.8,23.04,-102.4
taltal,0,CL,1552755775,66,-25.41,71.52,2.95,-70.49
dunedin,64,NZ,1552755579,95,-45.87,55.0,4.0,170.5
deputatskiy,8,RU,1552755775,0,69.3,-32.75,2.73,139.9
lovozero,76,RU,1552755775,76,68.01,24.45,3.62,35.02
sao gabriel da cachoeira,90,BR,1552752000,94,-0.13,75.2,1.12,-67.09
tutoia,40,BR,1552752000,44,-2.76,93.2,10.29,-42.27
bandarbeyla,92,SO,1552755639,100,9.49,78.63,10.11,50.81
faanui,12,PF,1552755776,100,-16.48,83.22,7.2,-151.75
sovetskiy,80,RU,1552755776,93,56.76,24.41,13.13,48.47
dicabisagan,100,PH,1552755777,100,17.08,70.76,3.18,122.42
hede,48,SE,1552755727,92,60.45,33.01,5.82,15.49
thompson,75,CA,1552752000,61,55.74,12.2,4.7,-97.86
morro agudo,75,BR,1552752000,58,-20.73,86.0,4.7,-48.05
saint-michel-des-saints,80,CA,1552755659,58,46.68,24.45,12.24,-73.92
chokurdakh,76,RU,1552755778,73,70.62,-10.88,4.41,147.9
grindavik,75,IS,1552753800,74,63.84,39.2,6.93,-22.43
ribeira grande,40,PT,1552753800,88,38.52,64.4,12.75,-28.7
jizan,0,SA,1552752000,66,16.89,84.2,5.82,42.56
narsaq,75,GL,1552751400,45,60.91,24.8,3.36,-46.05
sorland,76,NO,1552755778,100,67.67,35.39,10.78,12.69
port macquarie,90,AU,1552755604,88,-31.43,66.2,8.05,152.91
nipawin,1,CA,1552752000,74,53.36,30.2,13.87,-104.02
barrow,76,AR,1552755779,95,-38.31,69.5,12.68,-60.23
ikeda,0,JP,1552755722,75,34.82,46.4,4.7,135.43
isangel,36,VU,1552755780,100,-19.55,79.31,14.7,169.27
suntar,88,RU,1552755781,86,62.16,19.77,6.76,117.65
kisangani,0,CD,1552755781,84,0.52,79.62,2.84,25.21
sao jose da coroa grande,0,BR,1552755781,66,-8.9,87.41,9.55,-35.15
kirovskiy,56,RU,1552755781,65,45.09,10.46,2.28,133.51
jega,8,NG,1552755781,21,12.22,92.63,7.43,4.38
haimen,0,CN,1552755775,55,31.87,55.99,2.51,121.18
airai,80,TL,1552755782,93,-8.93,69.41,0.83,125.41
uglovskoye,76,RU,1552755782,85,51.36,22.65,8.32,80.19
anshun,92,CN,1552755664,98,26.25,49.07,3.18,105.93
college,1,US,1552755607,72,64.86,37.99,5.82,-147.8
letnyaya stavka,92,RU,1552755783,94,45.43,46.1,9.22,43.44
kloulklubed,75,PW,1552751460,94,7.04,77.0,4.7,134.26
bentley,20,CA,1552752000,92,52.47,14.0,6.93,-114.05
acajutla,8,SV,1552755506,44,13.59,90.87,5.19,-89.83
flinders,40,AU,1552755732,88,-34.58,72.0,8.05,150.85
nishihara,20,JP,1552755757,64,35.74,48.0,3.36,139.53
katsuura,40,JP,1552755070,81,33.93,42.8,3.36,134.5
pativilca,8,PE,1552755784,97,-10.7,73.37,10.0,-77.78
ahuimanu,1,US,1552755669,88,21.44,68.0,0.94,-157.84
iralaya,40,HN,1552752000,66,15.0,86.0,8.05,-83.23
bambous virieux,40,MU,1552755547,74,-20.34,82.4,1.12,57.76
natal,40,BR,1552752000,58,-5.81,87.8,12.75,-35.21
bonavista,92,CA,1552755664,87,48.65,43.0,18.01,-53.11
severo-kurilsk,32,RU,1552755786,100,50.68,23.51,3.74,156.12
salalah,20,OM,1552751400,74,17.01,78.8,4.7,54.1
alofi,100,NU,1552752000,94,-19.06,71.6,1.12,-169.92
flin flon,40,CA,1552752000,67,54.77,23.0,4.41,-101.88
marzuq,8,YE,1552755787,63,14.4,64.37,3.29,46.47
isla mujeres,40,MX,1552755195,69,21.23,84.0,8.05,-86.73
chapeltown,75,GB,1552755783,93,53.64,52.0,13.87,-2.41
kuloy,88,RU,1552755787,89,61.03,26.21,10.33,42.49
sisimiut,20,GL,1552755788,79,66.94,3.35,3.06,-53.67
pisco,0,PE,1552752000,30,-13.71,71.6,9.17,-76.2
itoman,0,JP,1552752000,51,26.12,62.6,4.7,127.67
oksfjord,44,NO,1552753200,92,70.24,28.4,27.51,22.35
tuktoyaktuk,20,CA,1552752000,76,69.44,-11.21,4.7,-133.03
santa cruz,1,US,1552755662,50,36.97,60.01,3.36,-122.03
seoni,36,IN,1552755614,59,22.09,67.2,5.08,79.55
ilulissat,40,GL,1552751400,60,69.22,5.0,14.99,-51.1
nizhniy tsasuchey,0,RU,1552755793,74,50.52,25.4,9.22,115.13
san francisco,1,US,1552755604,87,37.78,57.0,1.39,-122.42
bubaque,0,GW,1552755794,67,11.28,88.94,8.88,-15.83
ciudad bolivar,0,VE,1552755795,35,8.12,96.23,14.14,-63.55
kropotkin,76,RU,1552755617,10,45.43,46.0,5.75,40.58
nokaneng,0,BW,1552755795,34,-19.66,82.95,8.77,22.19
vallenar,0,CL,1552755795,65,-28.58,72.6,2.73,-70.76
buraydah,40,SA,1552752000,19,26.33,78.8,11.41,43.97
srandakan,100,ID,1552755592,100,-7.94,72.33,3.62,110.25
grand gaube,40,MU,1552755547,74,-20.01,82.4,1.12,57.66
fort nelson,75,CA,1552752000,67,58.81,21.2,2.24,-122.69
santa fe,0,AR,1552755643,78,-31.62,75.99,1.99,-60.7
marawi,20,PH,1552755707,86,8.0,75.99,3.0,124.29
roros,68,NO,1552753200,68,62.57,28.4,4.7,11.38
rocha,100,UY,1552755797,95,-34.48,70.67,13.8,-54.34
pangnirtung,75,CA,1552752000,49,66.15,3.2,5.82,-65.72
hutchinson,20,US,1552755515,42,38.06,53.01,16.11,-97.93
tiffin,90,US,1552755762,55,41.11,39.99,10.29,-83.18
san quintin,92,PH,1552755798,90,17.54,70.4,3.29,120.52
clyde river,75,CA,1552752000,74,70.47,-22.01,2.24,-68.59
dalbandin,24,PK,1552755661,44,28.9,57.35,3.96,64.41
ahipara,92,NZ,1552755249,100,-35.17,62.01,4.74,173.16
jalu,0,LY,1552755799,47,29.03,61.31,4.41,21.55
pattao,92,PH,1552755799,99,18.25,70.94,3.4,121.82
longyearbyen,20,NO,1552753200,54,78.22,1.4,17.22,15.63
